star_score,review
2,그때 영화 노트북을 같이본 애인이 지금은 남편이 되어서 같은집에 같은공간에서 같은곳을 바라보며 다시보는 이느낌...말로 표현할수 없이 가슴이 뜨거워지네요 
2,노아 같은 놈도 없다 
2,어릴적 봤던 기억으로 다시 보았지만 역시 명작중에 대명작 작품 
1,입장차가 분명한 영화.  약혼남의 입장이였던 사람이라면 너무나 화가나는 영화겠지. 
2,관람객보고 나니 연애가 아닌 사랑이 하고 싶어졌다. 
2,관람객보고 남자친구랑헤어졌다 
2,'사랑을 한다면 이렇게' 라고 말해주는 한편의 메세지 같다..  ㅠㅠ 
2,이런 연인을 만난다는건 축복중에 축복이다.... 
2,아름다운 영화 다시봐도 정말 재밌네요 
2,머릿속에 자꾸생각나는영화   최고다.. 
1,감동적으로 보긴했지만 약혼남과 관계를 좀 더 깔끔하게 정리 해줬으면 좋았을거 같다. 둘의 사랑으로 감동 받았다가도 약혼남을 생각하니 감동으로만 볼수는 없을듯... 
2,내 생애 최고의 영화라 자부하는 영화! 너무 연기좋았어요~ 눈물샘도 자극하고~ 
2,왜 이걸 이제서야 봤을까.. 하아.. 마지막 장면과 그 대사의 여운이 너무 짙다. 
2,ㅎ ㅏ.. 이렇게 사랑할수있을까? 
2,"사랑은 이렇듯 문득 다가오는건데.. 모든걸 갖추고 사랑을 찾는 사람들.. 조건때문에 머리로 생각하고 사랑하는 사람들.. 나도 순수한 사랑을 할수있다는 안타까움 혹은 그시절에 대한 사무침, 동경이 눈물샘을 자극하는건 ..."
2,책임감 없어 보일순있겠지만 난 과정을 보았기 때문에 엘리 선택이 충분히 이해가 가는대 이해 못하겠다는 사람은 30년후 론보다 함께 하고싶은사람 놔두고 책임감때매 약혼자랑 결혼하겠다는거? 다른사람 마음에 두고 결혼하는...
2,"둘은결혼에성공했고,노년까지함께했으며,같은날한침대에서숨을거두었다.해피앤딩이다.그런데왜가슴이아플까..아픔의의미는모르겠고,통증만뚜렷하다.. "
2,"레이첼 맥아덤즈가 이 영화를 살렸다.여주인공의 몸짓, 대사, 표정, 말투가 정말 사랑에 빠진 사람같아보여보는 내내 같이 설레였고, 두 주인공 모두 다 자신의 있는 그대로를 보여준것같은 그런 영화 ^^ 캐스팅만으로도 ..."
1,고슬링과 레이첼 조합은 충분히 멋졌다. 
2,관람객노아 같은 사람을 만날 수 있을거라고 나에게 헛된 희망을 심어줌... 
2,아예 폰에 넣어다니면서 대사까지 다외움 아진짜 나한테 있어서는 최고의 영화임 
2,왜 울었는지는 모르겠지만 무튼 너무 울었네 뭣모르는 꼬맹이들이랑은 관계없이 올만에 감성돋는 영화 본것 같아 좋다 
2,관람객약혼남이 불쌍하긴하네요 
2,관람객자신은 특별할 것 없는 평범한 사람이지만 남들보다 잘 한 것이 있다면 한 여자를 평생 열렬히 사랑했다는 늙은 노아의 말이 이 영화에서 가장 멋진 대사가 아닐까 싶다. 
2,뭘 적어야 하는데..아무 생각이 나지 않아.. 난 좋은 영화를 보면 멍 하는데 지금이 그래.. 멍.. 
2,마지막에 진짜 눈물이....슬퍼서 나는게 아니라 너무 감동받고 아름다워 눈물이나요.. 
0,노아의 기준으로만 행복한 영화지만약 약혼자의 기준이였다면?결혼까지 약속한 여자가 갑자기 첫사랑에게 돌아간다?약혼자가 노아와 앨리 두명다 총으로 쏴도 이해할 듯 
1,"배우들 연기력은 아주 좋은데 불륜 미화하는게 좀 거슬림.노아는 미망인 가지고놀다 버리고, 엘리는 7년?동안 옆에있어주고 자신의 과거를 용서해준 남자를 버림;; "
2,이게 10년전꺼라고? 
