nickname,talk
kaki****,3표 다 송중기꺼♥
우청,막판에 엎어놓으니 다시 보기 싫어진다  최고 드리마를  스스로  망친작가
이지윤,백상예술대상 송중기 꼭투표해주세요 😭❤️
kaki****,메이킹 고프다...
Ladybug,아 빈센조 다시 보고 싶다ㅏㅏㅏ 시즌 2 갑시다
혀니허니,시즌2 만들라는 님들아  작가가 열혈사제2도 못만들고 있다오
hyel****,메이킹ㅠㅠㅠㅠㅠㅠ센차커플 행복만 해!!
깜찍발랄,비가오니 울적하다. 우리 장준우가 너무 보고싶다.
깜찍발랄,우리 장준우도 차영이 좋아했는데 불쌍해. ㅜㅜ
anu,메이킹은 오늘 올라 오나요?
yer,아 진짜 시즌2 만들어달라고 진짜로ㅠㅠㅠㅠㅠ
쁘니,다시 2월20일로 돌아가고싶다
금가동,이달 배우님이 다음 작품 캐스팅 되어서 첫 촬영 갔더니 한 배우분이 '중기가 네 얘기 많이 하더라 착하고 연기도 잘하니까 잘 챙겨달라'라고 말 했다던데 진짜 송중기 배우님 너무 사람이 좋네요ㅜ 사람들 간의 관계를 계속 잘 유지해나가는 거 너무 부럽고 멋있네요ㅜ
Ithuifg,시즌2 안된다면 영화화 합시다
금가동,이달배우분이 10년 활동하는 동안 이렇게 긴 역할을 한적이 없었다는데 진짜 박재범 작가님은 조연 배우들의 캐릭터를 너무 잘 살려주셔서 진짜 좋네요ㅜ
쁘니,메이킹 존버
chun****,메이킹 빨리 빨리 올려주세요 ~~~ 기다리기 힘들어요
징징이,메이킹 도대체 언제나와요ㅠ
쩡이,빈센조 다시볼수록 더 재밌음
hyel****,마지막 메이킹과 미공개 메이킹3탄 같이 주길ㅠㅠㅠ🥺🥺🤎
Flower,송중기배우 나온 모든작품 섭렵중~참나! 보면볼수록 왜케 멋있고 난리신지~ㅜ.ㅜ출구가 없넹ᆢ 에효~
stel****,다시한번   몰아보기 해서 봤는데 역시 작가님 능력 짱이십니다^^^매회 따로볼때와는 달리 계속 보니까 작가님의 큰 그림이 볼수있어서 대~~박그보다 송배우님이 더 더더욱 살리셨지만요^^^^^
삥삥,벼노솨녜엠~~~쉬즨2뉜여어~~해야하뉜거어~~아쉬줘~?
이름없음,메이킹 언제 나옴 ㅋㅋㅋㅋㅋ
glor****,진짜 변호사녬.....사무장녬 포함 다들 보고싶네요^^
삥삥,벼노솨녜엠~~쉬즨2 하줘어~?
sysy****,시즌2 나오기를 ㅠ ㅠ
애비뉴,영화같은 드라마 빈센조 또 보고싶다 시즌2 갑시다
삥삥,솔직히 막화는 존박ost기 다함
최선영,우리 한서...
삥삥,이와중에 난 아드레날린만 쳐듣고 있다...
힘내자,마지막에  다 망쳐놨네ㅜ.여자부축해서 나가야했냐 옥택연부터 처단해야지 어휴
애비뉴,시즌2갑시다
삥삥,와 ㅈ니짜 요즘은 ost만 들으면서 ost나왔던 장면 회상하면서 산다...
찐빈바 유리,
최선영,예전엔 점심때쯤 많이 나왔는데
최선영,아...
찐빈바 유리,꿈꾸는사람님 메이킹은 오후 3시~4시 사이에 나와요!
찐빈바 유리,
꿈꾸는사람,아니.   드라마 다 끝났다고 메이킹 안 주고 이러기야?   TVN 즐거움이 없어지려고 한다.  메이킹 내놔라
최선영,2  나오면 좋겠어요
찐빈바 유리,
최선영,그렇네요~
이름없음,아니 티벤 메이킹 내놓으라고
삥삥,차영이랑 센조는 지푸라기 섬에서 이야기를 만들어 간다든가 하면 되죠
찐빈바 유리,작가님 빈센조 시즌2 가시죠!
젬썽,하~~~졸롸~마지막 까지 통쾌~시원~줠롸 재밌다!!!!!!!!!!!!
최선영,근데 시즌 2 나와도 내용이..
최선영,!?
kiking920,위에
곰돌이인형가게,공식홈이 어디있나요?
까미까미,홍차영 화장품 광고 찍자
kiking920,위에 공식홈들가면 됩니다
칸타타,메이킹 언능주세용
까미까미,
jaison,빈센조랑 관련없지만.. 귀여움에 웃고 가세요❤️ https://youtu.be/FTr8q5EqXbo 요거트 먹방
최선영,열현사제는 22년에 시즌2 한다는더..
까미까미,
곰돌이인형가게,송중기님 인터뷰 어디서 볼수있나요??
최선영,메이킹 언제 올라와요오오
kiking920,시즌2기다리다 목빠지겠네요 그냥 중기님 차기작소식 빨리 주세요
조선정,옥태연은 죽었잖아요 까마귀 장면!~까마귀는 죽은시체만 먹잖아요
에스더choi,해바라기님 말씀이 실제화 되었으면 ㅠㅠ
에스더choi,아니 ㅠㅠ 어케 끝 이렇게 마무리를 맺냐고요.. ㅠㅠㅠ 기대도 못 하게 하는 것 처럼.. 괜히 기대했다가 안 나올까봐.. 증말 과몰입 미치겠네요ㅠㅠㅠ
위닝,몰아보기중인데진짜 잼나네~~
에스더choi,근데 열혈사제는 마지막에 다시 돌아온다고 나와있넜는데 빈센조는 그냥 완전 끝 이렇게 끝나서.. 하 아냐ㅠㅠㅠ 나올거야 시즌2 제발 ㅠㅠ 마지막 엔딩이 시즌2 없다고 시청자들한테 못 박는듯한 느낌이여서.. 존버하면 나오겠죠.. ㅠㅠ
삥삥,송중기 배우님이랑 전여빈 배우님은 지금 이걸 보시면 얼마나 뿌듯하실까요?ㅠㅠ 자신들을 보고 싶어 한다는건 정말 대단한 거니까..
삥삥,센차 봐야하는데ㅠㅠ
욤,지금 정주행 중ㅠㅠㅠㅠㅠㅠㅠ너무ㅜ재밋소…
에스더choi,그렇겠죠..? ㅠㅠㅠ 시청자들이 이렇게 시즌2를 원하는데.. ㅠㅠ 몇년이 걸리더라도 꼭 나왔으면 좋겠네요..
뽀사시,해바라기님 말에 공감요🙏🙏
이름없음,메이킹 주라고
ito,시즌2!! 시즌2!!
심심한사람,"마지막화만 아니었으면,,,,,,,,,,, 한서는 장례식도 못 치뤘네요,,,,,,, 답답합니다"
ito,제발ㅜㅜ 시즌2ㅜㅜ
냠냠,시즌 2 가즈아 !!!!!!
BOM83,저도 하루 다섯번 투표예약♡♡요즘 빈센조 OST듣는 낙으로 십니다
jud,메이킹 왜 안 나오죠?????
에스더choi,ㅠㅠ 제발 시즌 2 나왔으면 좋겠네요ㅠㅠ 저는 중기배우님 인터뷰 내용도 그렇고.. 시즌2 너무 기대했는데 와장창 무너져서 ㅠㅠㅠㅠ
BOM83,"곽동연배우님의 재발견,옥배우님도 첫악역 좋았어요.한승혁지검장님도 너무 재미졌어요.안군도 너무 귀여우시고ㅋㅋ여운이 너무 깁니다."
삥삥,주말에 빈센조 보는 낙으로 살았는데ㅠㅠ요즘 살아가는게 힘들더군요.....빈센종와 홍차영의 티키타카 보면서 주말을 보냈는데 끝나서 요즘 정말 우울하다구요....시즌2ㅠㅠㅠ
yspn****,하루에 세번 투표가능매일할수있네요
삥삥,우리 시즌2까지는 해요 감독님..........펜하처럼 시즌3 까지도 좋아요
BOM83,"다들연기 너무 잘하셨어요.초반욕먹던 김여진 배우님도 정말. 욕먹을정도로 연기 잘하신거예요.조사장님도 너무 멋졌고 금가프라자 세입자분들 너무 감사했어요.보는 내내 행복했어요.송중기,전여빈,사무장님,인자기,바이바이벌룬 식구들 모두 감사했어요"
에스더choi,원래 재범작가님은 마지막에 끝낼때 다음을 기약하는? 그럼 문구를 넣으시던데.. 빈센조는 나레이션도 넣고 완전 끝 이렇게 끝나서.. ㅠㅠㅠ 시즌 2 하면 좋겠는데ㅠㅠㅠㅠ
삥삥,감독님!!!!!!!독자들이 기다립니다.....시즌2 할거죠...?아니 시즌2를 넘어 시즌3까지 갑시다....
삥삥,송중기님 백상예술대상 타시고 시즌2 갑시다!!!!!
에스더choi,빈센조 2 나올 가능성은 없겠죠?
짱돌,송중기배우가  타리라  장담함다~♡♡♡♡♡
짱돌,저  처음듣는 배운데 ㄱㅅ
삥삥,김선호님 너무 압도적 1등......송중기가 해야하는데ㅠㅠ
qown****,"나오는분들 배우분들, 주연배우 두분같이 시즌2 해주세요~~"
까미까미,언능 1위 해야되는데 그분이 좀 압도적이라 놀라긴 하네요
까미까미,빈체로님 저두요 그렇게 투표해요 그분 인기가 그렇게 많앗나 싶긴해요~~
깜찍발랄,기사는 무시해야겠음
깜찍발랄,우리 중기씨는 이야기 잘했습니다.
깜찍발랄,큰일이다. 중뽕들을 어떻게 처리해야하나. 돈안받으면 그만인데. 꼭 돈에 넘어들가니.
별달해,1인 3회 아니가요? 3번찍으니 투표 완료라고~
깜찍발랄,우리끼리 농담도 잘못했다고 얘기도 못하나? 왜 사사건건 중국애들 배설하는 이야기를 가지고와서 기분 더럽게 만드는지. 간첩이 많긴많네.
별달해,저 처음듣는데~왜 그러죠? 여베우 1위가 서ㅇㅈ배우여서 전 ㅊㅇ 본방한지라~응원했어요.제 툽3회는 중기님께 했지만요.
삥삥,빈센조 시즌2....하면 좋겠네요ㅠㅠ
vincero,깜찍발라님 생각이고 전 절왕 본적 없습니다.이만 바빠서
시현,메이킹 왜 없냐구요!!!!
깜찍발랄,솔직히 여기일부분들이랑 철왕톡러들이랑 사이안좋은데 인기투표때문에 친절한척은 쫌. 그렇네요.
vincero,그니깐 별달해님 전 남자배우는 중기오빠 여자배우는 혜선언니 찍었습니다.ㅋㅅㅇㅈ 학폭에 깜놀
별달해,빈체로님도요.💜💕
이름없음,메이킹 내놔라
vincero,오후 시간 홧팅하세요^^❣
별달해,저 빈센조인데요.여자배우 응원해봤어요~
별달해,진짜 어이없어요~코로나때문에 힘든데.짜장짬뽕들이 왈가왈부할이 아니죠!🤔😲
vincero,머래요? 깜찍발라님
깜찍발랄,철왕톡러들이 여기왜? 같이투표하자고? 헐
vincero,ㅉㄱ는 결려야....
vincero,저도 깜놀했어요ㅋㅋ 그래서 혜선언니 찍었습니다.
깜찍발랄,clean boat cleaned it
vincero,송중기오빠🤞혜선언니🤞 투표 꼭!!!합시다❣
솔희,동반수상이라구요??중기님만 누르고 투표가 된줄 알았는데요
별달해,"백상 인기상 남,여 동반 수상이면~~서씨보다는 혜선님을 밀어요.철인왕후님 분발합시다.👏"
솔희,상을 받는게 반드시 인기의 척도는 아니겠지만 중기님 인기만큼 투표수는 안되는듯..조금 속상하네요 저라도 열심히 할께요
sol,19~20화 메이킹 뽤리뽤리 나왔으면 좋겠네용!유튜브에 넷플렉스랑 하는 빈센조(?)올라와 있습니다^^참고하세요~
별달해,안주면 폭파라💥 꼭 주실거예요.😅
별달해,메이킹 기다립니다.🤗
됴됴한됴됴,19-20 메이킹은 안나오나요?
별달해,와 ㄱㅅㅎ베우 화력 대단하네요.🤔😅
별달해,백상툽 2일차👌
완희,시즌2 빨리 찍어주세요. 이번주부터 주말에 뭘하라고 벌써 끝내나요? 넷플릭스로 1회부터 16회까지 5번 17회18 세번 19회2번 20회 2번 봤어요. 마음이 공허합니다. 빈센조로 채우고 싶어요. 직장에서도 빈센조 기사만 보고 빈센조 16회 엔딩 음악만 듣고 있어요.
glor****,이번 메이킹은 좀 길게 해주셧으면...아니면 매일매일 메이킹분 올려주셨으면....
바다나무,메이킹 주시오~~~~~
jaison,빈센조랑 관련없지만.. 귀여움에 웃고 가세요❤️ https://youtu.be/FTr8q5EqXbo 요거트 먹방
최선영,보통 이때쯤 온라오는데
최선영,메이킹 메이킹
이름없음,메이킹 몇시에 나오죠
스미레뮤,조두순도  회장처럼 저렇게 죽였음 좋겠음이건 형사들이 조두순을  경호하는건지 시민을 지키는건지..진짜 조두순 형사들 아니었음 누가 담궈도 담겄을듯
kiking920,링크공유해서 5표씩 공략하기
gogosing,작가님 엄청 똑똑하시네 주인공 성격을 꿰뚫고 있는듯 가족도 못지키고 동료애도 없고 여자도 이용해먹고 마지막에 최종빌런 이라곤 만만한 아줌마 하나 마지막에 돈만 챙기는 빈센조 캐릭터 대단하다
피닉스,이렇게 수준 떨어지는 스토리의 드라마 시즌2 타령하는 애들은 도대체 뭔지.. 송중기를 그렇게 좋아하면 이런 드라마 나왔으면 좋겠냐? 그래도 회당 출연료 2억은 받을텐데 작품성 높은 작품 하길 바래야하는거 아님?
kaki****,아 글고 메이킹 좀 부탁
kaki****,지금 1위 김선호 2위 송중기인데...  여러분 송중기 표 많이 날려주세요~~ 수상소감 들어봅시다!!
금가동,타배우분은 여기서 언급하지 맙시당.. 괜히 또 싸움 생기면 그렇잖아요..👀
gidtnraaaa,송중기~~~백상  대상 받았으면 좋겠다. 인기상 까지 받으면 더좋은데 김선호 1박2일 화력이 대단한듯~ 인기있을려면 예능을 해야해 ㅎ~~
금가동,"메이킹, 미방영분 많이 풀어달라..!🔫"
HB,나중에 넷플로 다시 정주행 ㅎ ㅎ
금가동,시청자들 따돌리지 말구ㅜ 센차 19회 20회 사이 데이트 한 썰 풀어달라 센조 얼굴 상처로 데이트라는 걸 직감 가능하게 연출을 하십니까 천재들ㅜ 진짜ㅜ 미쳐효~~ 태↗️ 호~↗️ㅠㅜ😭🔫😭🔫😭🔫
glor****,저도 어제부터 다시 정주행 하고있어요...ㅎㅎㅎ다시 보면서 행복감을 느끼려구요
까미까미,배경음악도 섹시해~~아놔 중기랑 딱이야
까미까미,다시 정주행 중~~2회 보는중
짱돌,농락당했네요~ㅋ ㅋ
dlcosl,어그로 아닌가요?
dlcosl,오피셜 아닌거 같아요
찐빈바 콘실이,맛점들하세여
짱돌,에~이~~팩트인줄  알고  손발  다 후들거렀네ㅜㅜ
벚꽃엔딩,에이  농락당했네
짱돌,아~보긴봤네요~ㅋㅋ
벚꽃엔딩,히이스토리들가봐야겠네
하늘애나,"아무래도 시즌2 원하는 저희와 같은 분이 기사처럼 편집하신 것 같은데요,,"
하나,저건 시청자가 장난으로 쓴거 아닌가요
하늘애나,라구생뉴스 김맘마 기자..ㅋㅋ...
짱돌,확실히 본거  맞나요~?!!저도  제눈  의심해서리요~누구좀  알아봐 주세요
벚꽃엔딩,아닌가요
하늘애나,저거 진짜 맞나요??
짱돌,제가  요즘  어질어질 해서  잘못 봤나벼요ㅜㅜ 죄송요
벚꽃엔딩,다음 단독이네요
벚꽃엔딩,ㄱㅅㄱㅅ 넘좋아요
yh28****,기사확인하세요~~🥰🥰🥰🥰🥰
짱돌,아닌가요~?!!제가  빈센조에  홀려서  뭐든  빈센조 2로  보이나~~ㅜㅜ
qwe,기사 안나오는데요 시즌2??
mock****,유투브 검색창에 십오야채널을 쳐보세요 1편 /2편 있어요
yh28****,http://cafe.daum.net/Duckgu/D6g5/512?q=%EC%86%A1%EC%A4%91%EA%B8%B0&re=1
mock****,지금 보고왔는데 넘 반가움
qwe,안나오는데요??
mock****,유투브 십오야채널에 출연진들 거의 다 나와요
짱돌,다음에요
벚꽃엔딩,어디에??
glor****,그러게 빈센조팀 예능나왔으면좋겠는데...아형이라던지 런닝맨...뭐 등등..ㅎㅎ
qwe,어디요??
glor****,짱돌님 진짜요?어디기사에 나와있나요?
하나,대박 진짜요?시즌2?
벚꽃엔딩,정말로~~우와
짱돌,빈바님들  시즌2나온다고  기사떴어요~!!!!
짱돌,시즌2한다고  기사떴는데  우째된 상황임~~?!!  어리둥절~~~~~!!!!!
nune****,"19,20화 메이킹 올려두떼요~~!!"
8층조두순딸년,너는 지금까지 저지른 너의 죄값 반드시 갚아야할거야 세상에 공짜는 없다  원인없는 결과도 없고 니가 저지르는 죄의 값들은 쌓이고 쌓여  니가 다 갚아야할거야 ㅎ
